Victims,Date,Type of attack,Location,Notes
"Martino Raineri, male ","January 17, 2022 ",Unprovoked,"Between Malga Seconda Posta and Forte Cherle, Folgaria, Italy ","Seven wolves killed a man's dog, who was skiing at 4:00 pm. He tried to hide from the wolves who were eyeing him and called emergency help which arrived 30 minutes later. Only then did the wolves give up and leave. "
"Stanley Russ, 72, male ","May 29, 2020 ",Unprovoked,"Port Edward, British Columbia, Canada ",A wolf attacked a man and bit his legs and arm. 
Vlastimil Vejrosta and his wife ,"April 30, 2020 ",Predatory,"Božanov, Czech Republic ",Three wolves attempted to surround a couple near their home. Even throwing firecrackers didn't force them to run away. The couple escaped by running into their house. 
"Timur Makhametov, 23, male ","December 30, 2019 ",Predatory,"Ketpen Village, Uighur District, Almaty Region, Kazakhstan ",A wolf attacked a young man who was getting water at night. He sustained severe wounds in the head and feet. 
"Unknown, adult, male ","December 12, 2019 ",Rabid,"Tariat District, Arkhangai Province, Mongolia ",A wolf bit a shepherd's hand outside his home. 
"Vladislav Lomako, 56, male ","December 8, 2019 ",Rabid,"Khotovo Village, Stowbtsy City, Stowbtsy District, Minsk Region, Belarus ",A wolf seriously injured a man at a bus stop near a forest. 
"Zinaida Kozlovskaya, adult, female ","November 22, 2019 ",Rabid,"Syanno, Senno District, Vitebsk Region,  Belarus ",A wolf bit a woman in the evening. 
"Petr Grishchenko and Sergei Budnik, adult males ","October 24, 2019 ",Unknown,"Ruchaevka Village, Loevsky District, Gomel Region, Belarus ","A wolf attacked a man on his porch, then later attacked another villager. "
"Four adults, three males and a female ","October 7, 2019 ",Unknown,"Kayasula Village, Neftekumsky District, Stavropol Territory, Russia ","A series of attacks over two days, in which four villagers were injured by three wolves. "
"Three adult residents, two males and a female ","September 14, 2019 ",Rabid,"Perevalnoye and Privolnoye Villages, Simferopol District, Ukraine ","A wolf attacked a dog and its owner in a private courtyard, then later bit two men at a forest stream. "
"Matthew Rispoli, adult, male ","August 9, 2019 ",Predatory,"Rampart Creek Campground, Banff National Park, Alberta, Canada ",An emaciated wolf bit a man while attempting to drag him from his tent. 
"Sonya Chernigova, 14, female ","August 4, 2019 ",Predatory,"Yodva Village, Udorsky District, Komi Republic, Russia ",An old wolf fatally mauled a girl in the evening. 
"Kaje Napira, adult, female ","July 24, 2019 ",Unprovoked,"Tahko Village, Hiiumaa, West Estonian Archipelago, Estonia ",A wolf followed a woman's dog into her residence and bit her. 
Fifteen people ,"June 28, 2019 ",Unknown,"Kupwara District, Jammu and Kashmir, India. ","Over a week, at least four wolves attacked and injured at least 15 persons. "
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male ","June 28, 2019 ",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan ","Following a series of attacks on animals, a wolf injured four villagers. "
"Arlind Suma, 5, male ","June 25, 2019 ",Predatory,"Dimcë Village, Han i Elezit Municipality, Ferizaj District, Republic of Kosovo ",A wolf severely injured a boy while attempting to drag him away. 
"Unknown, 4, female ","June 16, 2019 ",Predatory,"Zinel Village, Bijar County, Kurdistan Province, Iran. ","According to the Bijar Environmental Protection Agency chief, a wolf killed a girl whose body was located some[clarification needed] kilometers away. "
"Tariel Mikeladze, 24, male, and two women ","March 19, 2019 ",Unknown,"Chivisubani Village, Tsalka District, Kvemo Kartli Province, Georgia ","A wolf attacked a woman in a yard, injuring her and two villagers who came to help. "
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female ","March 12, 2019 ",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia ","Two wolves attacked, causing bite injuries to four villagers. "
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female ","March 7, 2019 ",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan ",Two women were killed by a wolf pack in their yard. 
"Three people: an adult man and woman and a girl, 12 ","March 5, 2019 ",Unprovoked,"Ashutasty Village, Kostanay Region, Kazakhstan ",A wolf attacked and injured three people. 
"Resident, adult male ","February 21, 2019 ",Rabid,"Terebovlia District, Ternopil Region, Ukraine ",A wolf attacked a dog owner following a series of attacks on dogs. 
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male ","February 21, 2019 ",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt ",Five members of a family were injured in a wolf attack. 
Eight adults: five men and three women ,"February 14, 2019 ",Predatory,"Shimuldanga, Phukuria, Nedabohora, Jarulia Villages, Jhargram district, West Bengal, India ",Several people were injured by a wolf. 
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults ","January 26, 2019 ",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus ",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people. 
"Prashant, 4, maleJaswant, 2, male ","January 24, 2019 ",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India ","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers. "
"Anita, 7, female ","January 22, 2019 ",Predatory,"Alipur Village, Sambhal district,  Uttar Pradesh, India ","A girl was dragged away and killed, with only her skull recovered. "
Adult male ,"January 13, 2019 ",Unprovoked,"Osipenko Village, Berdyansk District, Zaporozhye Oblast, Ukraine ","A woodcutter was attacked from behind by a wolf, sustaining minor injuries. "
Lalit Hemam and two others ,"January 7, 2019 ",Unprovoked,"Bulauka Village, Jamboni Block, Jhargram District, West Bengal, India ","Three youth were attacked at a campfire, one fatally injured and two seriously injured. "
"Three male residents, one adult and two children ",January–April 2019 ,Predatory,"Dashtak and Sipindz Villages, Shughnon District, Gorno Badakhshan Autonomous Region, Tajikistan ",A series of wolf attacks injured and killed people in the area. 
"Vikesh, 2, male ","December 30, 2018 ",Predatory,"Hakimpur Village, Sambhal district, Uttar Pradesh, India ",A boy was fatally attacked and taken away by wolves. 
Five people ,"December 22, 2018 ",Unprovoked,"Partskhanakanibi Village, Tsqaltubo Municipality, Georgia ","Five people were attacked by wolves, including a dog walker at 2 am. "
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male ","December 1, 2018 ",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine ",Two victims were attacked in two incidents. 
"Lalmohan Soren, 30, male ","December, 2018 ",Unprovoked,"Jamboni, Jhargram district, West Bengal, India ",A wolf fatally mauled a man's neck. 
Four adults and three children ,"November 29, 2018 ",Rabid,"Shuvi and Zangayash Village, Astara District, Azerbaijan ","A wolf attacked children and adults on their way to school, then attacked others nearby. "
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male ","November 28, 2018 ",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan ",A teenager and a schoolboy were attacked and injured in the evening. 
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29 ","October 23, 2018 ",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan ",Two wolves attacked domestic animals and five people in the morning. 
Adult male ,"October 17, 2018 ",Provoked,"Khrustovaya Village, Kamensky District, Moldova ",A man was injured at night by a wolf while defending his dog. 
"Galina Matsepa, 59, female ","October 5, 2018 ",Provoked,"Shybalyn, Berezhany Raion, Ternopil Oblast, Ukraine ",A woman was attacked and injured while trying to drive a wolf out of her yard. 
Adult male ,"September 15, 2018 ",Predatory,"Anaba Town, Al-Mazār ash-Shamālī, Irbid Province, Jordan ",A citizen was attacked by a wolf in his home garden. 
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female ","September 10, 2018 ",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia ","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus. "
Two children ,"June 26, 2018 ",Unprovoked,"Strzebowiska and Przysłup, both in Podkarpacie region, Poland ","First an eight-year-old girl, then only two kilometers away a ten-year-old boy were attacked and injured while playing outside. This happened shortly after 18:35hrs, when he was seen by a car driver about 50 meters before the junction for Karczma Brzeziniak and a fish restaurant, when she drove towards Kalnica in Przysłup; she took a photograph (included in the newspaper article). "
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female ","May 28, 2018 ",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh ","A wolf attacked four people, two of whom died of rabies infection. "
None ,"April 14, 2018 ",Unprovoked,"Ust-May Village, Ust-Maysky District, Yakutia, Russia ",A man was attacked but unhurt by a wolf which he was able to trap in a boiler room. 
Two people ,"February 20, 2018 ",Unprovoked,"Kohangan Village, Semirom County, Isfahan Province, Iran ",Two people suffered injuries in a wolf attack. 
One resident ,"January 24, 2018 ",Predatory,"Ghannam Village, Dghara Area, Diwaniyah City, Qādisiyyah Governorate, Iraq ",One person was injured by a group of three solved which attacked a village. 
"Lydia Vladimirovna, 70, female ","January 19, 2018 ",Rabid,"Omyt Village, Zarichne Raion, Rivne Region, Ukraine ",A woman was attacked in her yard. 
Four residents ,"January 13, 2018 ",Unprovoked,"Dghara Area, Diwaniya District, Al-Qadisiyyah Governorate, Iraq ","In the evening, four people were attacked and injured at a youth cafe. "
"Anna Lushchik, 63, femaleVladimir Kiryanov, 59, maleLyubov Gerashchenko, 53, maleLina Zaporozhets, 14 female ","January 4, 2018 ",Unprovoked,"A village in Korop Raion, Chernihiv Region, Ukraine ",A wolf attacked and injured four people over the course of a night. 
Two men ,"January 2, 2018 ",Unprovoked,"Komarin Village, Brahin District, Belarus ","A wolf bit a man at a bus station, and subsequently attacked another man at a petrol station. "
Four residents ,"December 11, 2017 ",Unprovoked,"Norilsk City, Krasnoyarsk Krai, Russia ",Four people were bitten by a wolf which was hunting for dogs. 
"Mirbek Kelgenbaev, adult, male ","November 7, 2017 ",Unprovoked,"Sarychat-Ertash State Nature Reserve, Issyk-Kul Region, Kyrgyzstan ",A man was attacked and injured by a wolf while attempting to repair an automotive breakdown. 
"Madi Utegenov, 13, male ","October 14, 2017 ",Unprovoked,"Taldykyduk Village, Kaztal District, West Kazakhstan Region, Kazakhstan ",A boy was seriously injured by a wolf in a shed. 
"Khasrat Gurbanov, adult maleFikret Aliyev, adult male ","August 7, 2017 ",Predatory,"Padar Village, Agsu District, Azerbaijan ",Two men were attacked by wolves at night. 
Adult woman ,"August 1, 2017 ",Unprovoked,"Makrohori Village, Korestia, Kastoria Regional Unit, West Macedonia, Greece ",An elderly woman was attacked and injured while feeding her sheep. 
"Resident, 70, male ","July 30, 2017 ",Predatory,"Vachnadziani Village, Gurjaani Municipality, Kakheti Region, Georgia ",An elderly man and his dogs were attacked and killed in a vineyard. 
"Alyeva Aida Abbas, 49, female ","July 25, 2017 ",Predatory,"Korhalfali Village, Agstafa District, Azerbaijan ",A woman was bitten while attempting to defend livestock from a wolf. 
"Matin Bashiri, 3, male ","July 24, 2017 ",Predatory,"Bashirabad Village, Kolyai District, Sonqor County, Kermanshah Province, Iran ","A boy and his sister were attacked by a wolf, the boy carried away and fatally wounded. "
"Rajab Gadirov, 61, male ","July 20, 2017 ",Predatory,"Khidirli Village, Salyan District, Azerbaijan ",A shepherd was severely injured by a wolf. 
"Mohammad Mammadov, 16, maleBakhshish Asgarov, 19, male ","July 19, 2017 ",Predatory,"Ashtarak Zarbaktar Village, Zaqatala District, Azerbaijan ","A young shepherd was injured by a wolf, which later badly injured a border patrol member. "
"Beekeeper, 60, male ","July 7, 2017 ",Rabid,"Vydel Farm, Tuzlov Hunting Farm Territory, Rodionovo-Nesvetaysky District, Rostov Region, Russia ",A beekeeper was attacked from behind and injured. He sheltered in a metal booth which the wolf attacked for a time and damaged. 
Two men and a woman ,"July 4, 2017 ",Unprovoked,"Tamishek Village, Sukhumi District, Abkhazia, Georgia ","A wolf injured a woman in an apartment courtyard, then bit two men in a neighboring yard. "
"Makhmadnazar, 3, male ","July 1, 2017 ",Predatory,"Imom Village, Shughnon District, GBAO, Tajikistan ",A wolf attacked three children who were playing after their dinner. It drug one boy away who died from serious injuries. 
"Resident, male ","June 17, 2017 ",Provoked,"Wadi Niyat, Duqm al-'Owaid Village,  Al-Liith, Saudi Arabia ",A man was injured by a wolf in a sheep barn. 
"Four adults, three children ","June 13, 2017 ",Unprovoked,"Ramin Village, Zanjan Province, Iran ",Two wolves injured seven people. 
"Tahira Habulla, 48, femaleNazli Mammadaga, 45, female ","June 10, 2017 ",Unprovoked,"Shakerli Village, Salyan District, Azerbaijan ",A wolf bit two women on their arms. 
Children ,May–August 2017 ,Predatory,"Masada, Ein Gedi, Israel ",Numerous wolf attacks causing injuries at campsites and tourist attractions. 
"Fatima Karami, 3, female ","May 6, 2017 ",Predatory,"Zarand Village, Aq Bolagh Rural District, Sojas Rud District, Khodabandeh County, Zanjan Province, Iran ","A wolf took a girl from her family garden and carried her for 2 km (1.2 mi), inflicting injuries. "
"Bahram Seyidov, 29, male ","April 21, 2017 ",Provoked,"Gudula Village, Shaki District, Azerbaijan ",A shepherd was injured while rescuing a lamb from five wolves. 
"Mohammad, 1, male ","April 18, 2017 ",Predatory,"Zawajar Village, Qeydar City,  Khodabandeh County, Iran ","A wolf carried a boy for 3 km (1.9 mi), inflicting injuries. "
"Sultan Hasanoğlu, 72, femaleMürteza Hasanoğlu, 71, maleAli Hasanoğlu, 46, maleBirsen Hasanoğlu, 44, female ","April 2, 2017 ",Rabid,"Yoğurtçular Village, Şenkaya District, Erzurum, Turkey ",Four people were injured while defending livestock. 
Adult male ,"March 15, 2017 ",Predatory,"Terek Village, Alai District, Osh Region, Kyrgyzstan ",A wolf attacked a farmer in his barn. 
"Vusal Abbasov, 36, male ","February 21, 2017 ",Predatory,"Quycu Salyan Region, Azerbaijan ",A man was attacked but uninjured while trying to chase away a wolf. 
"Marcelo Vanzuita, adult male ",February 2017 ,Predatory,"Whitehorse, Yukon, Canada ",Followed by two wolves but not attacked or injured during the Yukon Arctic Ultra ultramarathon. 
Three men ,"February 5, 2017 ",Rabid,"Zaderiyivka Village, Chernihiv Oblast, Ukraine ",Two off-duty border guards were injured while rescuing a severely injured man from a wolf attack. 
"Kadyrzhan Sharshenbek Louulu, 27, male ","February 5, 2017 ",Predatory,"Kalkagar Village, Tong District, Issyk-Kul Region, Kyrgyzstan ",A man was attacked outside a livestock shed by a wolf from a pack which had previously attacked the livestock. 
Adult males ,"December 7, 2016 ",Unprovoked,"Smithers, British Columbia, and Mt Norquay, Alberta, Canada ","Multiple reports of close approaches or stalking by wolves, but no reported attacks or injuries."
"Boy, 12 ",Winter 2016–17 ,Predatory,Indian Himalayas ,A wolf inflicted multiple injuries. 
Two residents ,"December 4, 2016 ",Predatory,"Susangerd, Dasht-e Azadegan County, Khuzestan Province, Iran ",Two residents injured by wolves. 
"Oil worker, 44, male ","December 2, 2016 ",Unprovoked,"Beyneu District, Mangystau Region, Kazakhstan ","A wolf attacked a worker, causing light injuries. "
"Sivam Kewat, infant, male ","November 24, 2016 ",,"Sanjay National Park, Madhya Pradesh, India ",A wolf fatally bit an infant. 
"Child, 11, male ","November 8, 2016 ",Predatory,"Kum-Döbö village, Kochkor district, Naryn oblast, Kyrgyz Republic ",A boy was bitten by a wolf near his house. 
Eleven children ,"November 7, 2016 ",,"Sardrud, Tabriz, Iran (East Azerbaijan) ","Wolves attacked and injured eleven children at evening play. They tried to carry away a 4-year-old boy who was rescued by an older brother, both receiving serious injuries. "
"Two adults, child ","November 4, 2016 ",Unprovoked,"Ghariza and Sepah Tehsil, Jamrud, Khyber Agency, Pakistan ",A child was fatally injured and two others were injured. 
"Brent Woodland, 36, male ","November 1, 2016 ",Unprovoked,"Ucluelet, British Columbia, Canada ",A man was followed by two wolves while jogging with his dogs. 
"Resident, 25 dead in own home. male ","Mars  15, 2022 ",,"Esfahlan, Tabriz, East Azerbaijan Province, Iran ",A wolf injured a man near his house. 
"Andrew Morgan, 26, male ","October 8, 2016 ",Predatory,"Canmore, Alberta, Canada ",A man was chased by a wolf on a forest trail. 
"Worker, 26, male ","August 29, 2016 ",Unprovoked,"Cigar Lake, Saskatchewan, Canada ",A worker was mauled by a wolf outside a mining camp. 
"Alexander Chausov, 15, maleIvan Golub, maleVadim Golub, maleValentine Golub, female ","July 7, 2016 ",Rabid,"Pervomaisk, Rechytsa District, Gomel Region, Belarus ",A wolf injured four people and twenty pets. 
"Child, 7, female ","June 8, 2016 ",Predatory,"Omman Village, Qorveh-e Darjazin District, Razan County, Hamadan Province, Iran ",A wolf injured and carried away a 7-year-old girl until pursuing rescuers caused it to flee. 
"Bülent Taşçı, adult, male ","June 8, 2016 ",Unprovoked,"Günbatan, Posof District, Ardahan Province, Turkey. ",A herder was injured by a wolf while tending to cattle. 
"Sahib Mamedov, 63, male ","May 31, 2016 ",Predatory,"Galynjag Village, Ismailli District, Azerbaijan ","While defending sheep and cattle, a herder was seriously injured by a wolf. "
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male ","April 22, 2016 ",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran ","A wolf injured four adult residents, two of them in their house. "
"Aslan Shauhalovu, 35, male ","April 13, 2016 ",Predatory,"Dalakov village, Ingushetia, Russia ",A wolf entered a yard where children were playing and bit a man. 
Five people ,"April 2, 2016 ",Rabid,"Jabdaraq village, Meshginshahr, Ardabil Province, Iran ",A wolf killed livestock and dogs and severely injured five people. 
A Couple with an infant ,"March 25, 2016 ",Rabid,"19th Khoroo, Sukhbaatar District, Mongolia ","Two wolves attacked dogs and cows, then a man, woman and infant. "
"Rosa Harutyunyan, 75, female ","March, 21. 2016 ",Unprovoked,"Khachik village, Vayots Dzor, Armenia. ",A wolf seriously injured an elderly woman in her home. 
"Valiko Tagiashvili, 55, male ","March 20, 2016 ",Predatory,"Koshalkhevi Village, Dusheti District, Georgia ",A man was believed by a politician to have been attacked and eaten by wolves. 
Two adults ,"February 24, 2016 ",Rabid,"Yasyrev, Volgodonskoy District, Rostov Oblast, Southern Federal District, Russia, ",A wolf injured a woman and later a dog and a man on a farm. 
"Seyed Hassan Mousavi, 30, male ","February 22, 2016 ",Unprovoked,"Qazvin Province, Iran ",Wolves severely injured a cyclist in the mountains. 
"Shepherd, adult, male ","January 30, 2016 ",Predatory,"Batinci, Skopje, Macedonia ",A wolf attacked sheep in a barn then seriously wounded a shepherd. 
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female ","December 21, 2015 ",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan ",Two wolves injured a man and a woman in separate attacks. 
"Musa uulu Taalaybek, male ","December 2, 2015 ",Unprovoked,"Kadamjay District, Batken Region, Kyrgyzstan ",Wolves hurt a dog owner. 
"Elchin Mamishov, male ","November 30, 2015 ",Predatory,"Mingachevir, Kalbajar District, Azerbaijan ","A wolf injured a shepherd, and attacked those who came to rescue him. "
6 People ,"November 29, 2015 ",Unprovoked,"Lushan, Rudbar County, Gilan Province, Iran ","Over two days, wolves injured six people, one severely. "
"Ilham Mammadov, 42, malePadar Behramov, 34, male ","October 26, 2015 ",Predatory,"Novju Village, Agsu District, Azerbaijan ",Wolves seriously injured two shepherds. 
"Resident, 55, female ","October 16, 2015 ",Rabid,"Öğrendik Village, Ağın District, Elazığ Province, Turkey ",A wolf seriously injured a woman in her garden. 
Three adult males ,"October 4, 2015 ",Rabid,"Orechovka Village, Millerovo, Millerovsky District, Rostov Oblast, Russia ","A wolf injured a man on a water tower, then injured two men in a nearby yard, with one seriously injured. It also bit dogs and livestock. "
"Matthew Nellessen, adult, male ","September 23, 2015 ",Predatory,"Colburn, Wisconsin, US ","Wolves attacked but did not injure a hunter, and retreated after one of the pack was shot. "
"Mahaneh Shams, 75, male ","July 31, 2015 ",Predatory,"Buqa'ta Village, Golan Heights, Syria ",A wolf attacked and injured farmer in an orchard. 
"Abuzer Baydemir, adult, male ","July 8, 2015 ",Predatory,"Yarpuzlu Village, Sincik District, Adıyaman Province, Turkey ",A wolf seriously injured a man in his garden. 
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male ","July 6, 2015 ",Predatory,"Razan County, Hamadan Province, Iran ",A wolf or wolves injured two children in two separate attacks. 
"Mehmet Karasu, 70, maleAli Yasar, 65, male ","June 20, 2015 ",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey ","A wolf attacked people on their way to early morning prayer, injuring two. "
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male ","June 9, 2015 ",Predatory,"Vadageri village, Ameengad, India ",A wolf attacked and injured a shepherd and a young farmer. 
Five people ,"May 9, 2015 ",Rabid,"Nimrod Fortress National Park, Golan Heights, Israel ",A wolf injured 5 people in 3 separate attacks. 
Two adults ,"April 26, 2015 ",Unprovoked,"Strelichevo Village, Khoiniki District, Gomel Region, Belarus ","A wolf killed a dog outside a couple's home, then tried but failed to get inside. "
"Lima Ankudinova, 77, female ","April 7, 2015 ",Predatory,"Borovitsa, Central Russia ",A wolf killed and partially ate an elderly woman. 
Six people ,"April 6, 2015 ",Predatory,"Maysan Governorate, Iraq ","A wolf pack attacked a village, injuring 6 people, some seriously. "
Five people ,"March 24, 2015 ",Predatory,"Chiva village, Vayots Dzor, Armenia ",A wolf attacked and injured five farmers in a field. 
"Giorgi Gogiberidze, 23, male ","March 7, 2015 ",Unprovoked,"Kvelobani Village, Chokhatauri District, Guria Region, Georgia ",A wolf injured a man who had attempted to chase it out of a yard. 
Two families ,"January 25, 2015 ",Rabid,"Outside Wabush, Labrador, Canada ","A wolf charged snowmobilers on a trail, no injuries. "
Three adults ,"January 21, 2015 ",Rabid,"Medvedev, Svietlahorsk District, Belarus ",A wolf injured three adults and a dog. 
"Amankhan Amirov, Ozat Kyrykbaev ","January 16, 2015 ",Predatory,"Jeldiqara village, Mynbulak rural district, East Kazakhstan Region, Kazakhstan ",Wolves entered the village at night and injured two men. 
Two adults ,"January 14, 2015 ",Rabid,"Zheldikar, Ayagoz District, East Kazakhstan Region, Kazakhstan ","A wolf attacked two men, one of whom died from rabies. "
"Ragif Mirzoyev, 22, male ",January 2015 ,Rabid,"Chirchik District, Salyan Rayon, Azerbaijan ",A wolf bit a man who was protecting sheep; the man died from rabies. 
"Man, 32 ","December 23, 2014 ",Predatory,Kyrgyzstan ,A wolf attacked a dog then injured its owner outside a cattle fence. 
"Resident, adult, male ","December 20, 2014 ",Predatory,"Novokazicinsk, Zabaykalsky Krai, Siberian Federal District, Russia ",A wolf attacked a resident. 
Three adults ,"December 10, 2014 ",Predatory,"Mikhailovka Village, Kamensky District, Rostov Oblast, Russia ","A wolf entered a courtyard and bit a man and his dogs; while being chased away, it bit two women. "
"Bolot Zhunushaliev, teenager, male ","November 23, 2014 ",Unprovoked,"Ak-Muz Village, At-Bashy District, Kyrgyzstan ",A wolf attacked a horse-riding teenager who was tending to livestock; no serious injury. 
