Victims,Date,Type of attack,Location,Notes
"Şükran Aliyev, adult, male ","October 29, 2014 ",Unprovoked,"Mireshelli Village, Ağdam District, Azerbaijan ",A wolf threatened a resident and exchanged injuries with a man who came to help. 
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female ","October 27, 2014 ",,"Jalilabad District, Azerbaijan ",A wolf injured a girl in the family yard then injured three other family members who tried to save each other. 
"Dijanu Kurtović, 33, female ","September 26, 2014 ",Unprovoked,"Drnis, Šibenik-Knin County, Dalmatia, Croatia ",A wolf seriously injured a woman who was walking her dog. 
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri ","September 26, 2014 ",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India ",The same wolf from the previous day's attack injured six field workers. 
6 adults ,"August 26, 2014 ",Predatory,"Yıldızeli, Sivas, Turkey ","In three separate attacks, a wolf or wolves injured six adults, including two farmers attacked from behind and a family of four on a picnic. "
Six villagers ,"August 13, 2014 ",Predatory,"Kalazhuole village in Altay, China ","In the early morning, 5 wolves attacked livestock in the village and subsequently injured 6 villagers, 2 seriously. "
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female ","July 8, 2014 ",Rabid,"Yenibardak, Gerger, Turkey ",A wolf seriously injured two women in a field. 
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male ","June 3, 2014 ",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey ",Wolves injured two shepherds. 
"Öner Kırdar, 36, male ","April 21, 2014 ",Unprovoked,"Kapidag, Bandirma, Turkey ",A wolf seriously injured a man in the evening. 
"Nikolai Mikhailov, adult, male ",January 2014 ,Rabid,"Vasyukova Village, Bezhetsky District, Tver Oblast, Russia ",A wolf seriously injured a man outside a shed before being shot by a hunter. 
"Resident, 74, female ","January 10, 2014 ",Rabid,"Mălureni, Argeș County, Southern Central Romania ","In the evening, a wolf injured a woman in her yard. "
"Ruslan Nuritdinov, 35, male ","January 6, 2014 ",Rabid,"Udachny, Mirninsky District, Sakha Republic, Russia ",A wolf injured a man who was beginning a night shift. 
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male ","January 3, 2014 ",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey ","Wolves entered the village, injuring at least 4 people. "
Eight people ,"October 20, 2013 ",Rabid,"Nasirabad, Parikhan, and Hajjilu villages, Meshgin Shahr County, Ardabil Province, Iran ","Over two days, wolves attacked people, dogs and livestock in three villages. Eight people were injured, one seriously. "
"Yura Arushanyan, male ","October 17, 2013 ",Predatory,"Katnajur, Lori region, Armenia ","A wolf bit one resident, then gnawed on another man's door. The wolf severely injured this man when he and his brother came out to fight the wolf. "
"Michelle Prosser, adult, female ","October 15, 2013 ",Predatory,"Merritt, British Columbia, Canada ","Wolves stalked a woman and her dogs on a forestry road, fatally injuring one dog. "
Eight adults ,"October 10, 2013 ",Unprovoked,"Eshtehard City, Karaj County, Alborz Province, Iran ","In a series of attacks over the course of a night, a wolf injured eight people. "
"Zeki Cane, 74, male ","October 7, 2013 ",Unprovoked,"Solhan, Bingöl Province, Turkey ",A wolf seriously injured a man who then killed the wolf with a rock. 
"Daulet Tuyeshiyev, adult, male ","September 5, 2013 ",Predatory,"Zhetybay Village, Karakiyansky District, Mangistau Region, Kazakhstan. ",A wolf attacked and seriously injured a police officer who was inspecting his car. 
"Noah Graham, 16, male ","August 24, 2013 ",Unprovoked,"Near Lake Winnibigoshish, Minnesota, US ","A wolf mauled a boy who was camping, inflicting serious injuries. "
"Adil Ahmad, 9, male ","July 13, 2013 ",Predatory,"Kreeri area, Baramulla district, north of Srinagar, India ",A wolf fatally bit a boy on the neck. 
"Aadil Hameed Sheikh, 7, male ","July 13, 2013 ",Predatory,"Hail village, northern Kashmir ",Two wolves killed a boy. 
"William Hollan, adult, male ","July 6, 2013 ",Unprovoked,"Alaska Highway west of Watson Lake, Yukon, Canada ","A wolf chased a bicyclist, ripping open the rear pannier bags before a motorist stopped to offer shelter from the attack. No injuries. "
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female ","June 12, 2013 ",,"Hacılar village, near Tortum, Erzurum province, Turkey ",A wolf killed one man and injured four other people. 
"Feyzullah Aydin, malePınar Aydın, femaleGülgez Aydin, femaleKamile Aydin, femaleRukiye Aydin, female ","April 26, 2013 ",Predatory,"Yemişen, Bulanık, Muş, Turkey ","Wolves attacked a dog in a family's garden, then subsequently injured all five members of the family who exited their home to rescue the dog and each other. "
"Vitaly Vanadze, adult, male ","April 23, 2013 ",Predatory,"Laituri Village, Ozurgeti Municipality, Guria Province, Georgia ","Two wolves attacked a dog in a yard, then seriously injured the owner who tried to rescue it. "
"Dawn Hepp, adult, female ","March 8, 2013 ",Predatory,"Grand Rapids, Manitoba, Canada ",A wolf attacked and injured a woman who had stopped to aid another motorist. 
"Ziya Kerdige, 55, maleSercan Ceco, 30, maleKamber Altun, 30, male ","March 5, 2013 ",Predatory,"Esenyayla, Göle, Ardahan Province, Turkey ",Four wolves attacked two men and seriously injured a third who rescued them. 
"Woman, 81 ","February 5, 2013 ",Predatory,"Badzhuv Rushan, Tajikistan ",Multiple wolves inflicted fatal wounds on an elderly woman. 
"Lance Grangaard, 30, male","week of December 10, 2012",Rabid,"Ketchumstuk, near Tok, Alaska, US",A wolf attacked and superficially injured a man.
"Muratbek Bakhtygali, 70, maleAigul Espentayeva, femaleNazgul Adilgereyeva, femaleBeket Shadmanov, male ","December 6, 2012 ",Predatory,"Algabas Village, Almaty Region, Kazakhstan ",A wolf seriously injured an elderly man in his courtyard but fled when the man's cow charged it with its horns. The wolf then injured two women at the local kindergarten and a man who fought and killed it. 
"Aishat Maksudova, 56, female ","November, 2012 ",,"Makhachkala, Dagestan, Russia ",A wolf seriously injured a woman who killed it with an axe. 
"Meryem Kara, 60, femaleİsmail Atmaca, male ","October 15, 2012 ",Rabid,"Yazıçayırı, Kulu, Konya, Turkey ","In separate attacks, a wolf killed a woman who was walking to an outhouse then injured a man in a neighboring village. "
"Abbas Mohammed, 5, male ","September 24, 2012 ",Predatory,"Hilla, Iraq ",A wolf fatally wounded the youngest boy of a group of six who were picking berries. 
"Man, 60 ",September 2012 ,Rabid,Turkey ,"A wolf bit a man in his garden. The man strangled the wolf to death, but the man's later death was attributed to rabies. "
"Rukmanna, 1, male ","August, 2012 ",Predatory,"Belur village, Gulbarga, India ",A wolf is presumed to have carried away and eaten a boy who was left sleeping under a tree. 
"Jefer Kartsivadze, 60, male ","July 10, 2012 ",Predatory,"Zemo village, Shuakhevi District, Georgia ",A wolf or wolves are presumed to have killed a man. 
"Stanislav, 2, male ",July 2012 ,Predatory,"Berezino, Ukraine ",A wolf or wolves are presumed to have attacked and eaten a boy who disappeared from a family gathering. 
"Zhagor Imangaliyev, adult, male ","April 25, 2012 ",Unprovoked,"Esensay Village, West Kazakhstan Region, Kazakhstan ",A wolf injured a pensioner who tried to chase the animal out of his yard. 
"Varlam Butskhrikidze, 65, male ","February, 2012 ",Predatory,"Vazisubani village, Telavi District, Kakheti, Georgia ",A wolf was confirmed to have attacked and severed the arm of a man who died from blood loss in his home. 
"Zoo employee, 30, femaleArne Weise, 77, maleVisitor, maleUnknown, 15, female ","June 17, 2012 ",Predatory,"Kolmården Wildlife Park, near Norrköping, Sweden ","One or more wolves from a pack of eight zoo animals killed an employee who was acting under a policy of ""social activities"" with the animals. The pack had previously attacked three other people in separate incidents. The policy was discontinued following the death. "
"Unknown, 62, femaleUnknown ",March 2012 ,Predatory,"Tengzhou, Shandong, China ","In a series of seven attacks over six days, a wolf or wolves fatally injured two people. "
"Surik Isayan, 22, male ","March 15, 2012 ",Predatory,"Talvorik Village, Armavir Province, Armenia ",A wolf attacked a dog in a yard then severely injured the owner who tried to chase it away. 
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male ","February 1, 2012 ",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus ",A wolf attacked and injured two men in the middle of the village at night. 
"Four adults, male ","January 5, 2012 ",Unprovoked,"Spataev Village, Saryagash District, South Kazakhstan Region, Kazakhstan ","A wolf attacked a man who tried to chase the animal from his garden, injuring the man and three others who collectively killed it. "
"Rene Anderson, 55, female ","September 25, 2011 ",Predatory,"10 mi south of Pierce near Headquarters, Idaho, US ","A wolf approached a hunter who shot it to death, no injuries. "
"Five pensioners, adults ","June 24, 2011 ",Rabid,"Dvor-Savichi Village, Bragin District, Gomel Region, Belarus ","A wolf from the Polesie State Radioecological Reserve attacked residents and animals in the village, injuring five pensioners. "
Adult and child ,"April 17, 2011 ",Unknown,"Rörmossen, Sweden ","Two wolves attack. One wolf attacks a woman with a child carriage, another wolf attacks their dog. The woman and the child escape uninjured, but the dog is killed. "
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female ","April 14, 2011 ",Rabid,"Simav, Kütahya, Turkey ","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another. "
"Three men andAsylhanov Mukhtarov, adult, female ","January 31, 2011 ",Predatory,"Zhanabulak village, Akzhaik District, West Kazakhstan, Kazakhstan ",A wolf injured three men then severely wounded a woman before being chased away. It later returned to the scene and was killed. 
"Karen Calisterio, 52, female ","November 27, 2010 ",Narrowly averted,"Between Tensed, Idaho and Plummer, Idaho, US ",A pack of wolves briefly stalked a woman on her long rural driveway at dusk. No attack or injuries. 
Three adults and a child ,"October 25, 2010 ",Predatory,"Razan City, Hamadan Province, Iran ","A wolf attacked and injured a mother and child, and attempted to carry away the child before chased by rescuers. The wolf subsequently injured two men. "
"Zhyldyz Bakasova, 29, female ","October 29, 2010 ",Predatory,"Cholok-Kayin Village, Ak-Talaa District, Naryn Region, Kyrgyzstan. ",A large wolf attacked and injured a woman who was defending her 4-year-old daughter in a yard. 
10 People ,"September 27, 2010 ",Rabid,"Chaditsa, Mogilevsky, and Vazhiya villages, Klimovsky District, Bryansk Oblast, Russia ","In a series of attacks across three villages, a wolf fatally injured an elderly woman and injured nine others. Parties of more than 60 hunters tracked and killed the animal. "
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male ","September 9, 2010 ",Rabid,"Doganpınar Village, Pülümür District, Turkey ","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed. "
"Candice Berner, 32, female","March 8, 2010",Predatory,"Chignik, Alaska, US",A wolf or wolves attacked and killed a woman. This was the first such attack in North America confirmed by DNA evidence of culled wolves.
"Ahmed Sabic, 25, male ","December 22, 2009 ",Predatory,"Cista Velika, Imotski Region, Dalmatian Hinterland, Croatia ",Three wolves attacked a herd of cows and injured a shepherd who tried to defend them. 
Man ,"December 12, 2009 ",Predatory,"Pyhäjärvi, Liittoperä, Finland ",A wolf attacked and lightly injured man who was repairing machinery in the forest. 
"Nikolay Musienko, 68, male ","November 27, 2009 ",Rabid,"Vulka Gorodishchenskaya Village, Pinsk District, Brest Region, Belarus ",A wolf attacked and seriously injured an electrician outside a transformer substation. 
"Roderick Phillip, 35, male","September 10, 2009",Rabid,"Along the Kuskokwim River near Kalskag, Alaska, US",A wolf attacked a hunter who had left his campsite.
"One person, adult, female","February 20, 2009",Predatory,"Giorgitsminda, Kakheti, Georgia",A pack of wolves was believed to have killed a woman in one of a series of attacks over a month.
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others ","February 19, 2009 ",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia ","A wolf fatally attacked a farm night watchman, and injured four others. "
"Kolya Nechaev, 10, male ","January 10, 2009 ",Predatory,"Zavod-Kyn Village, Lysva District, Perm Krai, Russia ","A wolf attacked a boy who was tobogganing and dragged him into a forest, inflicting fatal injuries. An expert stated that the animal was probably too old and weak to hunt proper prey. "
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female ","February 11, 2008 ",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine ",A wolf attacked and seriously injured three women in the early morning near a farm. 
None ,"December 22, 2007 ",Predatory,"Fort Nelson, British Columbia, Canada ","Two wolves approached children who were tobogganing, and were attacked by a dog and later shot and killed.  No human injuries. "
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female ","December 20, 2007 ",Predatory,"Artillery Road, Anchorage, Alaska ","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog. "
"Jouko Vuorma, adult, male ","September 2, 2007 ",Provoked,"Muhos, Finland ",A female wolf chased a man for 300 metres (980 ft) after he had accidentally approached a wolf cub while picking berries. The wolf withdrew when the man began hitting it with a stick. 
"Bekbolat Amirkhanov, 50, male ","April 24, 2007 ",Predatory,"Kurmangazinsky District, Atyrau Region, Kazakhstan ","A wolf attacked a shepherd who was grazing his sheep. The shepherd grabbed the wolf's tongue and reportedly held it for an hour, sustaining injuries to his hand while the wolf became exhausted and died. "
"Becky Wanamaker, 25, female","July 7, 2006",Predatory,"Dalton Highway near campground northwest of Fairbanks, Alaska, US","A wolf chased and attacked a woman walking on the highway, injuring her legs before she found shelter and assistance."
"Kenton Carnegie, 22, male","November 8, 2005",Predatory,"Points North Landing, Saskatchewan, Canada","A coroners' jury concluded that wolves were responsible for a student's death, though an attack by a black bear was not excluded. The body was found partially eaten in an area known to be frequented by wolves feeding on human refuse."
Two people,Winter 2005,,"Khost province, Afghanistan",Occurred during what was considered the worst Afghan Winter in over a decade.
Four people,Winter 2005,,"Naka, Paktia province, Afghanistan",Two of the victims were killed during trips to other villages.
Two people,February 2005,,"Muinak district, western Uzbekistan",
Elderly Man,"January 5, 2005",Predatory,"Village of Vali-Asr, near the town of Torbat Heydariya, Razavi Khorasan Province, Iran","Wolves attacked an elderly homeless man, inflicting fatal injuries despite attempts at rescue."
"Fred Desjarlais, 55, male","December 31, 2004",Predatory,"Key Lake, Saskatchewan, Canada","A wolf attacked and seriously injured a jogger, who was rescued by bus passengers. In response, authorities built an electric fence around a nearby landfill which was attracting predators."
"Onur Bahar, 10, male ","November 28, 2004 ",Predatory,"Talas District, Kayseri Province, Central Anatolia, Turkey ","A pack of wolves approached a group of children who were playing one mile from their homes, chasing and killing the slowest of the group. "
Three people,Winter 2003–04,,"Astrakhan Oblast, Russia",
Three shepherds,Winter 2003–04,,"Sredneakhtubinsky District, Russia.",
14 Children ,February–August 2003 ,Predatory,"Laliya, Auraiya, and Balrampur district, Uttar Pradesh, India ",Wolves were believed responsible for the deaths of 14 children in a series of attacks. 
"Scott Langevin, 23, male ","July 2, 2000 ",Predatory,"Vargas Island Provincial Park, British Columbia, Canada ","A wolf attacked a man sleeping outside at a campsite, inflicting serious injuries before other campers scared the animal away. "
"John Stenglein, 6, male","April 26, 2000",Predatory,"Logging camp at Icy Bay, Alaska",A wolf attacked and severely injured boy playing at the edge of a forest. 
"Anand Kumar, 4, male",1996,Predatory,"Banbirpur, India","A wolf attacked and carried away a boy, who was killed and eaten."
"Zachariah Delventhal, 11, male ",August 1996 ,Predatory,"Algonquin Provincial Park, Ontario, Canada ","A wolf attacked and severely injured a boy who was sleeping outside with his family at a campsite. The family had earlier joined a group of Scouts in howling for wolves, which had been answered by a solitary wolf. Officials subsequently baited the campsite and a wolf was captured and destroyed. "
"Patricia Wyman, 24, female","April 18, 1996",Captive,"Haliburton Forest, Ontario, Canada","A pack of wolves fatally mauled a new caretaker at a privately owned wildlife reserve. The wolves were killed the following day. Though they had been raised in captivity, they were never socialized with people."
60 children,March 1996,,"Uttar Pradesh, India",A pack of wolves killed around 60 children in Uttar Pradesh near the Ganges river basin over the course of 3–9 months.
"Michael Amosov, 60, male","February 21, 1996",Predatory,"Hamlet of Bolonitza, Zadrach, Belarus","Wolves were suspected in the presumed death of a man, whose footprints ended in bloody snow surrounded by wolf tracks."
Adult female,December 1995,Predatory,"Hvoschono, Belarus","A wolf or wolves were suspected in the death of a woodcutter, whose remains were found surrounded by wolf tracks."
"Girl, nine",December 1995,Predatory,"Usviatyda, Belarus",A wolf or wolves were suspected in the death of a girl whose body was surrounded by wolf tracks.
Adult female and three men,October 1995,Rabid,"Village south of Voronezh, Russia","A wolf fatally bit a woman in a cornfield, then bit three men in separate attacks."
60 children,April 1993 – April 1995,,"Hazaribagh, India",Five wolf packs were thought to be responsible for the attacks.
Unknown,1995,Predatory,"Karelia, Russia",A fatal attack[further explanation needed] prompted a major hunt on wolves.
"Unknown, adult, female",1993,Predatory,"40 km from Tasmurinsky State Hunting Area, north of Almaty, Kazakhstan",Killed and partially eaten.[further explanation needed]
"Alyshia Berczyk, 3, female","June 3, 1989",Captive,"Forest Lake, Minnesota, US","A captive wolf slammed a girl into the ground, causing fatal liver damage."
17 children,Late 1985 – January 1986,Predatory,"Ashta, India","A pack of four wolves were believed responsible for attacks on 17 children, and were killed by hunters and forest officials."
"Unknown, adult, female",June 1982,Possibly rabid,"Dubrova, Belarus","A wolf was believed responsible for an attack on a woman and previous attacks on people and livestock in three villages, and was killed by hunters."
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd."
"Unknown, elderly, female",1980,Rabid,Estonia,
"Unknown, adult, female",August 1979,Rabid,"Sinezerka, Bryansk Oblast, Russia",A wolf bit a woman and attacked four other adults and a child.
"Unknown, 7, male","August 13, 1977",Predatory,"Delmenhorst, Germany","A wolf escaped during transport to an animal park. After four days, the hungry animal attacked a boy."
"Javier Iglesias Balbin, 3, male","July 10, 1974",Predatory,"Rante, Spain","A wolf carried off a boy, whose body was found in a nearby woodland. The wolf was killed with poison four days later, and was found to have a den with two pups, and a severe parasite infestation."
"Unknown, 77, female","May 23, 1974",Rabid,"Arkadak, Saratov, Russia",A wolf fatally injured a woman and injured nine other people.
18 men,Autumn 1971,Rabid,"Hindu Kush, Afghanistan",All 18 victims were attacked while guarding crops.[further explanation needed]
"Unknown, adult, female",1961,Rabid,Slovakia,
"Manuel Sar Pazos, 4, male","June 21, 1959",Predatory,"Tines village, Castrelo, Spain","A wolf bit a boy then chased his playmate, before being chased away by rescuers. Two wolves were subsequently killed."
"Luis Vasquez Perez, 5, male","June 25, 1957",Predatory,"Vilare village, Castrelo, Spain","A wolf attacked and killed a boy on a road, then chased a boy before being chased by adults."
"Unknown, adult, male",1956,Predatory,Italy,Wolves killed and ate a postman outside of Rome.
"Lidia Tupitsyna, 6, female","April 12, 1952",Predatory,"Orichevsky District, Kirov Oblast, Russia",A wolf carried away a girl who was picking berries.
Four children,1951–1953,Predatory,"Oritji, Kirov Oblast, Russia",
"Unknown, 10, female","April 29, 1951",Predatory,"Tarasovok, Orichevsky District, Kirov Oblast, Russia",A wolf killed a girl who was bathing with a friend in a creek.
"Two boys and a girl, aged 3–6",July–August 1950,Predatory,"Lebyazhsky District, Kirov Oblast, Russia",
Three children,Reported in 1950,Predatory,"Poltava Oblast, Ukraine",Multiple wolves killed three children.
"Svetlana Tueva, 8, female","November 17, 1948",Predatory,"Zykov, Nolinsky District, Kirov Oblast, Russia","Five wolves attacked a girl returning from school with friends, dragging her into a forest and presumably eating her."
"Nine children, aged 7–12",July–August 1948,Predatory,"Darovskoy District, Kirov Oblast, Russia",
A woman and an adolescent,December 1947,Predatory,"Kirov Oblast, Russia","An emaciated wolf killed two people near a railway station. The wolf had injured 13 people over the month, and was believed to have accustomed itself to scavenging human corpses during the war."
"Veniamina Fokina, 13, female",1947,Predatory,"Rusanov, Khalturinsky District, Kirov Oblast, Russia",
"Anna Mikheeva, 16, female",1947,Predatory,"Chernyabevij village, Rusanov, Khalturinsky District, Kirov Oblast, Russia","Wolves attacked a girl and her mother, dragging the girl's body into a forest where it was partially eaten."
14 children,Summer 1946,Predatory,"Kolchinsky, Malinsky and Savinsky localities, Kaluga Oblast, Russia",
One child,"July 14, 1946",Predatory,"Red Warrior settlement, Kaluga Oblast, Russia",
"Pimma Molchanova, 5, female","May 8, 1945",Predatory,"Shilyavo, Nemsky District, Kirov Oblast, Russia",A wolf or wolves attacked a girl who was washing boots by a stream. A blood trail led to her partially eaten body.
"Maria Berdnikova, 17, female","April 29, 1945",Predatory,"Golodaevshchina, Kirov Oblast, Russia","A wolf attacked a girl near a cattle yard and, despite attempts at rescue, dragged her into a forest."
11 children,1945,Predatory,Portugal,Eaten by wolves
"Valya Starikova, 13, female","September 21, 1944",Predatory,"Golodaevshchina, Kirov Oblast, Russia","A wolf or wolves carried a girl into a forest, where she was presumably eaten."
"Woman; girl, 7",Summer 1944,Predatory,"Dubniaki, Mari El, Russia",Wolves attacked and killed a woman and her granddaughter who were picking berries in the Mari-Solinsky forest.
"22 people, aged 3–17",1944–1950,Predatory,"Kirov, Kirov Oblast, Russia",See Kirov wolf attacks.
Inuit Boy,1943,Rabid,near the Wainwright area in Alaska,A timber wolf bit a boy who died of rabies infection.
"Inuit Hunter, adult, male",1942,Rabid,near the Noorvik area in Alaska,A timber wolf bit a hunter who died from rabies infection.
"Unknown, 3, female",1940s,Predatory,"Kaluga Oblast, Russia",A wolf or wolves killed a girl who was picking flowers near Bytosh railway station.
Five children,"July–August, 1937",Predatory,"Tymoszewicze and Hryniewicze villages, Belarus",Two wolves attacked five children in a series of daylight incidents near homes.
"Unknown, 6, female",Winter 1932,Predatory,"Puumalan, Uikkaala, Finland",A wolf or wolves were presumed to have killed a girl who had disappeared.
